id,player_api_id,player_name,birthday,height,weight
1,505942,Aaron Appindangoye,1992-02-29 00:00:00,182.88,187
2,155782,Aaron Cresswell,1989-12-15 00:00:00,170.18,146
3,162549,Aaron Doran,1991-05-13 00:00:00,170.18,163
4,30572,Aaron Galindo,1982-05-08 00:00:00,182.88,198
5,23780,Aaron Hughes,1979-11-08 00:00:00,182.88,154
6,27316,Aaron Hunt,1986-09-04 00:00:00,182.88,161
7,564793,Aaron Kuhl,1996-01-30 00:00:00,172.72,146
8,30895,Aaron Lennon,1987-04-16 00:00:00,165.1,139
9,528212,Aaron Lennox,1993-02-19 00:00:00,190.5,181
10,101042,Aaron Meijers,1987-10-28 00:00:00,175.26,170
11,23889,Aaron Mokoena,1980-11-25 00:00:00,182.88,181
12,231592,Aaron Mooy,1990-09-15 00:00:00,175.26,150
13,163222,Aaron Muirhead,1990-08-30 00:00:00,187.96,168
14,40719,Aaron Niguez,1989-04-26 00:00:00,170.18,143
15,75489,Aaron Ramsey,1990-12-26 00:00:00,177.8,154
16,597948,Aaron Splaine,1996-10-13 00:00:00,172.72,163
17,161644,Aaron Taylor-Sinclair,1991-04-08 00:00:00,182.88,176
18,23499,Aaron Wilbraham,1979-10-21 00:00:00,190.5,159
19,120919,Aatif Chahechouhe,1986-07-02 00:00:00,175.26,150
20,46447,Abasse Ba,1976-07-12 00:00:00,187.96,185
21,167027,Abdelaziz Barrada,1989-06-19 00:00:00,177.8,161
22,245653,Abdelfettah Boukhriss,1986-10-22 00:00:00,185.42,161
23,128456,Abdelhamid El Kaoutari,1990-03-17 00:00:00,180.34,161
24,42664,Abdelkader Ghezzal,1984-12-05 00:00:00,182.88,172
25,425950,Abdellah Zoubir,1991-12-05 00:00:00,180.34,161
26,38423,Abdelmajid Oulmers,1978-09-12 00:00:00,172.72,143
27,3264,Abdelmalek Cherrad,1981-01-14 00:00:00,185.42,165
28,467485,Abdelmalek El Hasnaoui,1994-02-09 00:00:00,180.34,159
29,306735,Abdelouahed Chakhsi,1986-10-01 00:00:00,182.88,170
30,41659,Abderrazak Jadid,1983-06-01 00:00:00,177.8,157
31,31684,Abdeslam Ouaddou,1978-11-01 00:00:00,190.5,181
32,32637,Abdessalam Benjelloun,1985-01-28 00:00:00,187.96,179
33,563215,Abdou Diallo,1996-05-04 00:00:00,182.88,159
34,41093,Abdou Traore,1988-01-17 00:00:00,180.34,174
35,564712,Abdoul Ba,1994-02-08 00:00:00,200.66,212
36,67334,Abdoul Karim Yoda,1988-10-25 00:00:00,182.88,161
37,173955,Abdoul Razzagui Camara,1990-02-20 00:00:00,177.8,157
38,39562,Abdoulay Konko,1984-03-09 00:00:00,182.88,157
39,191784,Abdoulaye Ba,1991-01-01 00:00:00,198.12,174
40,210400,Abdoulaye Bamba,1990-04-25 00:00:00,182.88,150
41,201915,Abdoulaye Diaby,1991-05-21 00:00:00,172.72,154
42,194479,"Abdoulaye Diallo Sadio,22",1990-12-28 00:00:00,182.88,168
43,189181,Abdoulaye Diallo,1992-03-30 00:00:00,187.96,174
44,352887,Abdoulaye Doucoure,1993-01-01 00:00:00,182.88,165
45,40005,Abdoulaye Faye,1978-02-26 00:00:00,187.96,218
46,409003,Abdoulaye Keita,1994-01-05 00:00:00,175.26,165
47,37280,Abdoulaye Meite,1980-10-06 00:00:00,185.42,181
48,439366,Abdoulaye Toure,1994-03-03 00:00:00,187.96,170
49,148827,Abdoulwahid Sissoko,1990-03-20 00:00:00,182.88,165
50,173011,Abdourahman Dampha,1991-12-27 00:00:00,182.88,168
51,419681,Abdul Aziz Tetteh,1989-02-10 00:00:00,182.88,190
52,196947,Abdul Majeed Waris,1991-09-19 00:00:00,172.72,157
53,89405,Abdul Osman,1987-02-27 00:00:00,182.88,154
54,324910,Abdul Rahman Baba,1994-07-02 00:00:00,177.8,154
55,67952,Abdul-Yakinu Iddi,1986-05-25 00:00:00,172.72,146
56,31012,Abdulkader Keita,1981-08-06 00:00:00,182.88,172
57,176301,Abdulla Fatadi,1985-11-02 00:00:00,175.26,172
58,307227,Abdullah Al Hafith,1992-12-25 00:00:00,187.96,165
59,176302,Abdullah Omar,1987-01-01 00:00:00,175.26,157
60,525595,Abdullahi Shehu,1993-03-12 00:00:00,180.34,159
61,24385,Abel Aguilar,1985-01-06 00:00:00,185.42,176
62,29904,Abel Gomez,1982-02-20 00:00:00,182.88,165
63,105548,Abel Hernandez,1990-08-08 00:00:00,185.42,161
64,172875,Abel Issa Camara,1990-01-06 00:00:00,185.42,179
65,302985,Abel Khaled,1992-11-09 00:00:00,180.34,148
66,240556,Abel Tamata,1990-12-05 00:00:00,182.88,170
67,40938,Abel,1978-12-22 00:00:00,177.8,165
68,37422,Abella Perez Damia,1982-04-15 00:00:00,187.96,174
69,114503,Abiola Dauda,1988-02-03 00:00:00,180.34,165
70,27277,Abou Diaby,1986-05-11 00:00:00,193.04,168
71,181344,Aboubacar Tandia,1983-10-05 00:00:00,193.04,185
72,581141,Aboubakar Kamara,1995-03-07 00:00:00,177.8,168
73,80592,Aboubakar Oumarou,1987-04-01 00:00:00,182.88,168
74,165706,Abraham Gonzalez,1985-07-16 00:00:00,177.8,176
75,210453,Abraham Guie Gneki,1986-07-25 00:00:00,180.34,154
76,208635,Abraham Kudemor,1985-02-25 00:00:00,182.88,179
77,213695,Abraham Minero,1986-02-22 00:00:00,175.26,157
78,33715,Abraham Paz Cruz,1979-03-14 00:00:00,177.8,165
79,41489,Achille Coser,1982-07-14 00:00:00,185.42,174
80,25571,Achille Emana,1982-06-05 00:00:00,180.34,170
81,660145,Achille Vaarnold,1996-01-26 00:00:00,175.26,157
82,45960,Achmed Ahahaoui,1983-12-06 00:00:00,177.8,152
83,293235,Achraf Lazaar,1992-09-22 00:00:00,182.88,168
84,34487,Aco Stojkov,1983-04-29 00:00:00,177.8,165
85,26331,Adailton,1983-04-14 00:00:00,190.5,187
86,41749,Adailton,1977-01-24 00:00:00,175.26,161
87,495841,Adalberto Penaranda,1997-05-31 00:00:00,182.88,172
88,519835,Adam Armstrong,1997-02-10 00:00:00,172.72,152
89,68840,Adam Banas,1982-12-25 00:00:00,185.42,174
90,27534,Adam Bodzek,1985-09-07 00:00:00,182.88,174
91,157303,Adam Bogdan,1987-09-27 00:00:00,193.04,198
92,563198,Adam Brown,1995-06-09 00:00:00,177.8,141
93,557396,Adam Buksa,1996-07-12 00:00:00,190.5,172
94,365666,Adam Campbell,1995-01-01 00:00:00,170.18,161
95,180197,Adam Collin,1984-12-09 00:00:00,190.5,172
96,310346,Adam Cummins,1993-03-03 00:00:00,187.96,172
97,68962,Adam Danch,1987-12-15 00:00:00,182.88,179
98,429870,Adam Deja,1993-06-24 00:00:00,185.42,181
99,23133,Adam Drury,1978-08-29 00:00:00,180.34,161
100,420209,Adam Drury,1993-09-09 00:00:00,177.8,152
101,308280,Adam Duda,1991-04-29 00:00:00,187.96,170
102,361712,Adam Dzwigala,1995-09-25 00:00:00,185.42,176
103,38617,Adam Federici,1985-01-31 00:00:00,187.96,198
104,173993,Adam Fraczczak,1987-08-07 00:00:00,182.88,168
105,277313,Adam Gyurcso,1991-03-06 00:00:00,180.34,132
106,40568,Adam Hammill,1988-01-25 00:00:00,177.8,163
107,281079,Adam Henley,1994-06-14 00:00:00,177.8,170
108,89240,Adam Hlousek,1988-12-20 00:00:00,187.96,168
109,24159,Adam Johnson,1987-07-14 00:00:00,175.26,139
110,414208,Adam King,1995-10-11 00:00:00,180.34,165
111,43317,Adam Kokoszka,1986-10-06 00:00:00,187.96,181
112,37234,Adam Lallana,1988-05-10 00:00:00,172.72,161
113,24952,Adam Le Fondre,1986-12-02 00:00:00,175.26,161
